[0.007s][info][gc] Using Concurrent Mark Sweep
[3.918s][info ][safepoint    ] Application time: 0.0091946 seconds
[3.918s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.918s][info ][safepoint    ] Leaving safepoint region
[3.918s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001490 seconds, Stopping threads took: 0.0000504 seconds
[3.930s][info ][safepoint    ] Application time: 0.0117556 seconds
[3.930s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.930s][info ][safepoint    ] Leaving safepoint region
[3.930s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001571 seconds, Stopping threads took: 0.0000793 seconds
[3.949s][info ][safepoint    ] Application time: 0.0191512 seconds
[3.949s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.949s][info ][safepoint    ] Leaving safepoint region
[3.949s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001752 seconds, Stopping threads took: 0.0000904 seconds
[3.951s][info ][safepoint    ] Application time: 0.0015692 seconds
[3.951s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.951s][info ][safepoint    ] Leaving safepoint region
[3.951s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001133 seconds, Stopping threads took: 0.0000490 seconds
[3.951s][info ][safepoint    ] Application time: 0.0004998 seconds
[3.952s][info ][safepoint    ] Entering safepoint region: Deoptimize
[3.952s][info ][safepoint    ] Leaving safepoint region
[3.952s][info ][safepoint    ] Total time for which application threads were stopped: 0.0005054 seconds, Stopping threads took: 0.0000440 seconds
[3.967s][info ][safepoint    ] Application time: 0.0153250 seconds
[3.967s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.968s][info ][safepoint    ] Leaving safepoint region
[3.968s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001653 seconds, Stopping threads took: 0.0000889 seconds
